"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000171491,000000171491,2,120,,,,
000000172211,000000172211,2,120,,,,
000000176258,000000176258,2,120,,,,
000000171310,000000171310,2,120,,,,
000000171318,000000171318,2,120,,,,
000000171319,000000171319,2,120,,,,
000000171316,000000171316,2,120,,,,
000000171314,000000171314,2,120,,,,
000000171315,000000171315,2,120,,,,
000000171312,000000171312,2,120,,,,
000000171313,000000171313,2,120,,,,
000000845136,000000845136,2,120,,,,
000000845135,000000845135,2,180,,,,
000000841200,000000841200,2,120,,,,
000000841200,000000841200,2,6600,"44635","44634",,
000008002745,000008002745,2,300,,,,
000008003388,000008003388,2,300,,,,
000008003382,000008003382,2,300,,,,
000000843731,000000843731,2,120,,,,
000000846924,000000846924,2,120,,,,
000000846922,000000846922,2,120,,,,
000000846923,000000846923,2,120,,,,
000000832540,000000832540,2,120,,,,
000000846920,000000846920,2,120,,,,
000000847508,000000847508,2,120,,,,
000000847509,000000847509,2,120,,,,
000000846928,000000846928,2,120,,,,
000000843732,000000843732,2,120,,,,
000000843733,000000843733,2,120,,,,
000000846808,000000846808,2,120,,,,
000000847507,000000847507,2,120,,,,
000000847504,000000847504,2,120,,,,
000000847505,000000847505,2,120,,,,
000000847502,000000847502,2,120,,,,
000000847500,000000847500,2,120,,,,
000000847500,000000847500,2,1020,"49765","49759",,
000000847500,000000847500,2,1980,"49765","49765",,
000000847500,000000847500,2,2700,"49765","49781",,
000000847500,000000847500,2,4680,"49765","55361",,
000000847500,000000847500,2,180,"55361","49759",,
000000847500,000000847500,2,2160,"55361","49765",,
000000847500,000000847500,2,180,"55361","55361",,
000000847501,000000847501,2,120,,,,
000000846926,000000846926,2,120,,,,
000000846927,000000846927,2,120,,,,
000000846805,000000846805,2,120,,,,
000000846802,000000846802,2,120,,,,
000000846803,000000846803,2,120,,,,
000000844958,000000844958,2,180,,,,
000000846800,000000846800,2,120,,,,
000000846801,000000846801,2,120,,,,
000008011714,000008011714,2,300,,,,
000008000488,000008000488,2,300,,,,
000008000489,000008000489,2,300,,,,
000000847462,000000847462,2,120,,,,
000000847463,000000847463,2,120,,,,
000000844950,000000844950,2,180,,,,
000000847460,000000847460,2,120,,,,
000000844951,000000844951,2,180,,,,
000000847461,000000847461,2,120,,,,
000000846806,000000846806,2,120,,,,
000000846804,000000846804,2,120,,,,
000000831135,000000831135,2,120,,,,
